Product ID,Product Name,Product Category,Color,Size,Unit Price,Sale Date,Order ID,Customer ID,State,Region,Sales Channel,Units Sold,Revenue,Discount,Profit
RD002,Pirate Rubber Duck,Themed,Orange,Standard,9.77,2023-06-28,ORD100000,CUST1520,CT,Northeast,Online,15,139.22,7.33,46.29
RD002,Pirate Rubber Duck,Themed,Blue,Standard,14.6,2025-05-09,ORD100001,CUST5557,NJ,Mid-Atlantic,Online,2,27.74,1.46,9.37
RD003,Princess Rubber Duck,Themed,Yellow,Standard,9.83,2025-02-17,ORD100002,CUST6635,MN,Midwest,Wholesale,14,123.86,13.76,58.41
RD001,Classic Rubber Duck,Classic,Orange,Mini,6.61,2025-01-10,ORD100003,CUST2139,ND,Midwest,Online,25,165.25,0.0,68.08
RD004,Superhero Rubber Duck,Themed,Blue,Standard,21.95,2025-01-17,ORD100004,CUST6820,WV,South,Retail,7,130.6,23.05,50.78
RD005,Glow Rubber Duck,Specialty,Pink,Large,17.32,2025-02-16,ORD100005,CUST4598,RI,Northeast,Wholesale,35,575.89,30.31,278.34
RD001,Classic Rubber Duck,Classic,Blue,Large,20.9,2024-10-06,ORD100006,CUST9179,NY,Mid-Atlantic,Marketplace,26,489.06,54.34,235.54
RD008,Holiday Rubber Duck,Seasonal,Orange,Standard,6.92,2025-05-27,ORD100007,CUST6930,PA,Mid-Atlantic,Retail,48,298.94,33.22,87.44
RD003,Princess Rubber Duck,Themed,Purple,Standard,5.9,2023-11-24,ORD100008,CUST2040,ID,West,Marketplace,4,23.6,0.0,12.08
RD007,Jumbo Rubber Duck,Large,Purple,Large,15.1,2023-08-23,ORD100009,CUST5371,ID,West,Wholesale,36,543.6,0.0,206.53
RD002,Pirate Rubber Duck,Themed,Orange,Mini,7.31,2024-01-01,ORD100010,CUST5889,AL,South,Retail,1,6.58,0.73,1.51
RD003,Princess Rubber Duck,Themed,Yellow,Mini,7.38,2025-09-27,ORD100011,CUST6947,OK,South,Wholesale,50,369.0,0.0,147.7
RD004,Superhero Rubber Duck,Themed,Orange,Mini,22.43,2023-05-22,ORD100012,CUST3103,NH,Northeast,Marketplace,6,134.58,0.0,49.39
